image_name,caption
image_112.jpg,A small dog sits next to a bowl of food.
image_191.jpg,A dog is running through a field of grass with a tennis ball in its mouth.
image_93.jpg,A dog and cat with a cow in the background.
image_103.jpg,A dog is standing on a sidewalk with a butterfly above it.
image_159.jpg,A dog is sitting with a camera and tennis ball.
image_125.jpg,A dog and cat are standing in front of a house.
image_258.jpg,A dog wearing a hat is sitting in the grass.
image_128.jpg,A dog sitting next to a basket of rocks.
image_179.jpg,"A cow, cat and dog in a field."
image_61.jpg,A dog and cat in a field.
image_236.jpg,A dog and piglet in front of a barn.
image_28.jpg,A dog standing on a table next to a bowl of water.
image_122.jpg,A serene farm scene with animals.
image_102.jpg,A dog and cat in a barn with hay bales.
image_259.jpg,"A dog, cat and cow in a field."
image_200.jpg,A dog and two cows standing in front of a fence.
image_243.jpg,"A dog, duck and blanket in a room."
image_66.jpg,A dog sitting in a garden.
image_148.jpg,This is a painting of dogs and cows in a field.
image_185.jpg,A dog standing next to a tennis ball.
image_220.jpg,This image depicts a serene scene of dogs and cats in a park.
image_225.jpg,"A dog wearing a scarf, sitting in front of a fountain."
image_33.jpg,A dog and cat in a grassy field.
image_230.jpg,A dog is walking down a path in the woods with a balloon.
image_183.jpg,A white dog is lying on the grass with a tennis ball.
image_8.jpg,A dog wearing a hat sits next to a plant.
image_31.jpg,A dog and a pig are sitting in a field.
image_197.jpg,A dog is lying on a blanket with a coffee mug.
image_47.jpg,A dog wearing sunglasses is sitting in a basket.
image_51.jpg,A pig and dog standing by a body of water.
image_17.jpg,A dog and two pigs in a field of tall grass.
image_267.jpg,A dog and cat sitting in the grass.
image_26.jpg,"A dog wearing a hat and scarf, sitting next to a bicycle."
image_239.jpg,A dog and a pig in a grassy field.
image_135.jpg,A dog sits on a blanket under a tree by the water.
image_248.jpg,A serene farm scene with animals and a house.
image_76.jpg,A serene scene of cows and butterflies in a field.
image_277.jpg,A dog and cat sitting on a dirt path.
image_94.jpg,A dog and two cats in a field.
image_11.jpg,A serene scene of animals gathered on a blanket.
image_232.jpg,A dog sitting next to a basket of flowers.
image_50.jpg,A dog wearing sunglasses and sitting in a basket.
image_69.jpg,A cat and dog in front of a house.
image_131.jpg,This image depicts a serene farm scene with animals.
image_223.jpg,A dog wearing sunglasses on a beach.
image_264.jpg,"A dog, cat and piglet behind a fence."
image_139.jpg,"A dog wrapped in a blanket, with a balloon."
image_74.jpg,A dog in a basket with shoes and plants.
image_86.jpg,A dog wearing a hat and blanket.
image_218.jpg,"A dog, cat and pig in a field."
image_288.jpg,A cow and dog standing together.
image_228.jpg,A dog wearing sunglasses.
image_209.jpg,"A dog, cat and pig in a field of flowers."
image_169.jpg,A dog sitting on a pillow in the grass.
image_281.jpg,"A dog, cat and pig standing together."
image_2.jpg,A dog and cat in a farmyard.
image_150.jpg,A dog and cat sitting in front of a house.
image_202.jpg,"The image shows a dog, cat and pig standing together."
image_110.jpg,three dogs standing in a grassy area.
image_132.jpg,The image shows a dog sitting on the grass with a cup.
image_96.jpg,"The image shows a dog, book and teddy bear."
image_42.jpg,"A dog, cat and dog sitting in grass."
